,LOCATION,SUBJECT,MEASURE,2018,2019,2020,2021,2022
233,IRL,T_GDPPOP,CPC,84824.335501,89846.694037,94037.963178,106879.15801,128343.44606
234,IRL,T_GDPPOP,PCTUS,135.828441,138.887488,148.135928,152.290467,
235,IRL,T_GDPPOP,VPVOB,80634.491422,83873.896654,88110.595973,99319.448861,109118.48883
236,IRL,T_POPTOT,PEHRS,4860.652,4927.173,4980.326,5018.628,5114.71
237,ISL,T_GDP,C,2844054.748,3023929.706,2918755.05,3244900.616,3766415.4
238,ISL,T_GDP,CPC,20177.371,21634.027,20031.108,21721.17,25335.8
239,ISL,T_GDP,PCTUS,0.098268,0.101184,0.095112,0.093164,0.099502
240,ISL,T_GDP,VPVOB,18909.663,19366.418,18041.31,18835.677,19831.4
241,ISL,T_GDPPOP,C,8063665.2906,8385828.3583,7963860.9823,8711142.5933,
242,ISL,T_GDPPOP,CPC,57208.310179,59994.528564,54655.13779,58311.865772,
243,ISL,T_GDPPOP,PCTUS,91.607149,92.74119,86.097033,83.08768,
244,ISL,T_GDPPOP,VPVOB,53614.014743,53706.095397,49225.948158,50565.575839,
245,ISL,T_POPTOT,PEHRS,352.7,360.6,366.5,372.5,
246,ISR,T_GDP,C,1352532.998,1434617.176,1422635.448,1578038.07,1755965.4
247,ISR,T_GDP,CPC,357372.009,370643.668,370624.727,412651.502,470372.5
248,ISR,T_GDP,PCTUS,1.740471,1.733521,1.759812,1.769891,1.847299
249,ISR,T_GDP,VPVOB,340903.069,355071.307,348477.1,378488.192,403214.7
250,ISR,T_GDPPOP,C,152321.70889,158502.84508,154393.88648,168461.52541,
251,ISR,T_GDPPOP,CPC,40247.088389,40950.350291,40222.667097,44052.106732,
252,ISR,T_GDPPOP,PCTUS,64.447298,63.302176,63.36188,62.769169,
253,ISR,T_GDPPOP,VPVOB,38392.363153,39229.847034,37819.058911,40405.04433,
254,ISR,T_POPTOT,PEHRS,8879.45,9051.05,9214.325,9367.35,
255,ITA,T_GDP,C,1771391.2,1796648.5,1661019.9,1787675.4,1909153.6
256,ITA,T_GDP,CPC,2600326.872,2735577.365,2564455.924,2760717.633,3092145.9
257,ITA,T_GDP,PCTUS,12.664099,12.794446,12.17663,11.840909,12.143815
258,ITA,T_GDP,VPVOB,2329132.404,2340386.732,2130240.456,2279075.381,2362824.183
259,ITA,T_GDPPOP,C,29583.73471,30079.952653,27944.9973,30231.331976,32390.596794
260,ITA,T_GDPPOP,CPC,43427.663151,45799.741918,43144.404153,46686.423752,52461.180219
261,ITA,T_GDPPOP,PCTUS,69.540324,70.798499,67.964428,66.522767,
262,ITA,T_GDPPOP,VPVOB,38898.485634,39183.358396,35839.163511,38541.384214,40087.547386
263,ITA,T_POPTOT,PEHRS,59877.2,59729.1,59438.9,59133.2,58941.6
264,JPN,T_GDP,C,556630100.0,557910800.0,539082400.0,549379300.0,556387200.0
265,JPN,T_GDP,CPC,5344060.937,5352898.847,5263052.866,5383426.681,5843526.3
266,JPN,T_GDP,PCTUS,26.02662,25.035802,24.990192,23.089891,22.949338
267,JPN,T_GDP,VPVOB,5361158.814,5339597.885,5111137.653,5220643.132,5274451.2
268,JPN,T_GDPPOP,C,4402221.5544,4422006.0888,4288356.2276,4377454.5426,
269,JPN,T_GDPPOP,CPC,42264.585125,42427.125078,41867.153396,42895.146539,
270,JPN,T_GDPPOP,PCTUS,67.677898,65.585015,65.952403,61.120634,
271,JPN,T_GDPPOP,VPVOB,42399.807138,42321.701532,40658.680351,41598.087138,
272,JPN,T_POPTOT,PEHRS,126443.0,126166.9,125708.4,125502.0,
273,KOR,T_GDP,C,1898192600.0,1924498100.0,1940726200.0,2071658000.0,2150575800.0
274,KOR,T_GDP,CPC,2220442.286,2247126.568,2316806.899,2425556.12,2636923.3
275,KOR,T_GDP,PCTUS,10.813987,10.509934,11.000735,10.403378,10.356015
276,KOR,T_GDP,VPVOB,2113166.77,2160585.765,2145258.238,2234186.141,2291393.2
277,KOR,T_GDPPOP,C,36797375.206,37177592.968,37439736.862,40035906.851,
278,KOR,T_GDPPOP,CPC,43044.340138,43410.15296,44694.939791,46875.178665,
279,KOR,T_GDPPOP,PCTUS,68.926512,67.104607,70.406952,66.79172,
280,KOR,T_GDPPOP,VPVOB,40964.752738,41738.351492,41385.489583,43176.85073,
281,KOR,T_POPTOT,PEHRS,51585.0,51765.0,51836.0,51745.0,
282,LTU,T_GDP,C,45515.226,48916.359,49829.295,56153.489,66832.519
283,LTU,T_GDP,CPC,101910.429,111628.422,112154.097,122723.588,139748.025
284,LTU,T_GDP,PCTUS,0.496324,0.522092,0.532534,0.52637,0.548834
285,LTU,T_GDP,VPVOB,93124.797,97431.914,97410.71,103236.878,105185.492
286,LTU,T_GDPPOP,C,16246.484884,17506.786174,17828.746084,19994.975395,23590.723262
287,LTU,T_GDPPOP,CPC,36376.535716,39950.948003,40128.340522,43699.06779,49328.635722
288,LTU,T_GDPPOP,PCTUS,58.249418,61.757273,63.213289,62.266129,
289,LTU,T_GDPPOP,VPVOB,33240.538161,34870.1277,34853.208629,36760.295259,37128.659372
290,LTU,T_POPTOT,PEHRS,2801.543,2794.137,2794.885,2808.38,2833.0
291,LUX,T_GDP,C,60121.164,62373.588,64780.987,72295.028,78130.116
292,LUX,T_GDP,CPC,70825.278,74115.971,75656.711,84175.446,93962.589
293,LUX,T_GDP,PCTUS,0.344933,0.346644,0.359236,0.361034,0.36902
294,LUX,T_GDP,VPVOB,66142.06,67676.506,67136.829,70562.456,71655.267
295,LUX,T_GDPPOP,C,98752.581282,100359.75543,102649.68911,112778.06932,119232.56038
296,LUX,T_GDPPOP,CPC,116334.72403,119253.37249,119882.98145,131311.16408,143394.13071
297,LUX,T_GDPPOP,PCTUS,186.285741,184.345139,188.849016,187.103256,
298,LUX,T_GDPPOP,VPVOB,108642.26043,108892.20595,106382.67405,110075.30911,109351.44329
299,LUX,T_POPTOT,PEHRS,608.806,621.5,631.088,641.038,655.275
300,LVA,T_GDP,C,29153.556,30678.645,30294.045,33587.579,39080.733
301,LVA,T_GDP,CPC,59505.492,63017.996,62750.162,65991.926,76741.786
302,LVA,T_GDP,PCTUS,0.289803,0.294739,0.297952,0.283044,0.301389
303,LVA,T_GDP,VPVOB,54313.549,55709.246,54481.98,56696.136,57816.557
